Sa2code,Total,Japanese,Hungarian,English,Serbian,Spanish,Australian Indigenous,Chinese,Austronesian,Thai,Arabic,Russian,Assyrian,Turkish,Greek,Iranic,Polish,Croatian,Korean,Maltese,French,Dutch,Italian,Vietnamese,Germa,Samoan,Macedonian,Indo Aryan,Tamil,Khmer,Portuguese
211011255,6550,9,9,5368,11,28,0,116,66,6,101,8,0,7,126,61,41,17,0,10,6,15,163,7,31,0,12,75,31,0,8
211021262,10007,0,16,8895,3,16,0,149,12,0,44,7,7,0,121,16,4,16,6,7,14,24,236,12,49,0,16,46,0,0,3
211011256,15237,17,49,10752,53,89,0,1094,190,12,257,16,0,37,300,144,80,59,51,9,48,20,344,138,58,6,11,498,114,107,11
211011257,8079,0,45,6008,14,50,0,481,118,0,102,11,0,8,120,24,64,29,11,14,24,5,117,106,20,6,10,281,67,24,7
211031264,29596,17,34,25540,18,115,0,533,163,36,82,29,0,20,119,70,50,34,18,12,38,145,188,88,163,14,18,292,15,84,10
211031265,18014,3,14,16167,4,55,0,245,45,3,62,14,0,19,103,9,28,31,7,11,23,38,203,27,89,0,20,118,17,8,12
211011258,10829,8,56,7300,17,88,0,510,111,7,270,30,0,20,237,80,110,55,23,22,62,16,261,127,58,0,43,478,154,43,13
211011259,13767,6,92,9786,65,64,0,1437,162,23,79,7,0,33,271,61,47,41,42,8,21,30,159,145,58,0,17,449,81,56,4
211011260,17479,21,37,11422,44,52,0,2276,232,31,102,12,0,28,383,102,36,28,51,20,40,62,247,179,79,12,14,804,287,70,21
211021261,15498,36,11,11718,19,43,0,1118,46,9,151,12,0,21,448,113,34,45,42,18,21,30,536,23,91,0,46,174,11,3,7
211031263,11476,13,23,9855,20,36,0,205,58,22,39,6,0,10,65,11,37,23,6,4,16,28,75,82,52,6,14,185,10,82,0
211031266,16010,24,27,11977,19,108,10,950,112,39,84,21,0,11,118,94,113,52,26,11,32,37,167,114,57,0,10,531,19,21,9
211041269,10053,24,26,6398,22,45,0,1399,138,32,33,9,0,9,319,85,35,18,52,10,40,21,174,181,65,7,10,305,48,22,0
211041270,14812,52,19,11025,52,74,0,1328,116,21,51,28,0,7,121,65,55,23,45,12,37,23,267,142,74,0,16,395,33,63,9
211041271,10946,32,17,7424,34,44,0,1161,101,9,40,21,3,6,172,89,34,29,59,4,22,24,170,195,37,0,18,436,22,68,3
211051277,8529,11,5,7671,3,10,0,29,34,3,10,0,0,6,32,3,5,0,0,6,3,120,54,6,77,7,0,31,3,0,0
211041272,9902,23,23,7524,27,49,0,783,72,13,37,22,3,6,123,36,36,29,26,7,15,31,110,127,65,0,0,327,23,29,0
211041273,11417,36,26,7214,18,38,0,1559,120,8,63,34,0,17,610,46,48,39,55,10,36,10,326,96,69,6,13,309,88,13,7
211051274,10063,15,11,9146,5,32,0,59,8,8,18,7,0,0,25,6,21,6,3,6,31,45,44,3,95,0,3,9,3,0,0
